dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003191,14.232001,0.003704,0.148148,2.962963,59.259259,0.000514
0.050000,0.013129,14.232014,0.013642,0.198776,1.012554,-39.008184,0.002116
0.050000,0.029693,14.232071,0.030207,0.331285,2.650177,32.752468,0.004785
0.050000,0.052882,14.232225,0.053396,0.463783,2.649971,-0.004134,0.008524
0.050000,0.082694,14.232551,0.083209,0.596272,2.649770,-0.004012,0.013332
0.050000,0.119127,14.233144,0.119647,0.728755,2.649665,-0.002089,0.019211
0.050000,0.162178,14.234121,0.162709,0.861244,2.649774,0.002170,0.026159
0.050000,0.211843,14.235619,0.212397,0.993756,2.650240,0.009329,0.034175
0.050000,0.268117,14.237799,0.268713,1.126318,2.651238,0.019943,0.043255
0.050000,0.330992,14.240840,0.331661,1.258966,2.652967,0.034581,0.053394
0.050000,0.400458,14.244943,0.401249,1.391749,2.655655,0.053777,0.064583
0.050000,0.476504,14.250328,0.477485,1.524727,2.659557,0.078035,0.076807
0.050000,0.559114,14.257236,0.560384,1.657974,2.664946,0.107777,0.090049
0.050000,0.648271,14.265928,0.649963,1.791579,2.672112,0.143312,0.104285
0.050000,0.743951,14.276678,0.746245,1.925647,2.681351,0.184784,0.119482
0.050000,0.846129,14.289783,0.849260,2.060295,2.692958,0.232137,0.135600
0.050000,0.954773,14.305549,0.959043,2.195655,2.707210,0.285046,0.152592
0.050000,1.069850,14.324299,1.075636,2.331873,2.724354,0.342889,0.170399
0.050000,1.191317,14.346365,1.199091,2.469103,2.744590,0.404712,0.188951
0.050000,1.319129,14.372087,1.329467,2.607505,2.768051,0.469216,0.208169
0.050000,1.453237,14.401810,1.466829,2.747245,2.794790,0.534790,0.227960
0.050000,1.593586,14.435879,1.611253,2.888483,2.824768,0.599553,0.248223
0.050000,1.740115,14.474637,1.762822,3.031375,2.857841,0.661458,0.268845
0.050000,1.892763,14.518423,1.921625,3.176063,2.893762,0.718421,0.289703
0.050000,2.051463,14.567560,2.087759,3.322672,2.932185,0.768468,0.310666
0.050000,2.216151,14.622358,2.261324,3.471306,2.972681,0.809913,0.331595
0.050000,2.386761,14.683105,2.442426,3.622044,3.014757,0.841512,0.352348
0.050000,2.560028,14.748815,2.627734,3.706156,1.682234,-26.650460,0.372415
0.050000,2.732734,14.818195,2.813855,3.722419,0.325259,-27.139491,0.391372
0.050000,2.904894,14.891062,3.000800,3.738911,0.329847,0.091764,0.409202
0.050000,3.076530,14.967227,3.188577,3.755533,0.332440,0.051865,0.425898
0.050000,3.247672,15.046500,3.377187,3.772201,0.333350,0.018200,0.441455
0.050000,3.418356,15.128690,3.566629,3.788845,0.332882,-0.009368,0.455876
0.050000,3.588627,15.213607,3.756900,3.805411,0.331324,-0.031152,0.469166
0.050000,3.758534,15.301060,3.947993,3.821858,0.328945,-0.047582,0.481332
0.050000,3.928135,15.390861,4.139901,3.838158,0.325987,-0.059162,0.492386
0.050000,4.097492,15.482822,4.332615,3.854291,0.322666,-0.066428,0.502338
0.050000,4.266675,15.576760,4.526128,3.870250,0.319170,-0.069917,0.511199
0.050000,4.435756,15.672492,4.720429,3.886033,0.315662,-0.070153,0.518983
0.050000,4.604816,15.769836,4.915512,3.901647,0.312281,-0.067625,0.525701
0.050000,4.773938,15.868614,5.111367,3.917104,0.309142,-0.062788,0.531363
0.050000,4.943209,15.968650,5.307988,3.932421,0.306339,-0.056051,0.535979
0.050000,5.112722,16.069767,5.505369,3.947618,0.303950,-0.047788,0.539557
0.050000,5.282571,16.171791,5.703505,3.962720,0.302033,-0.038330,0.542103
0.050000,5.452856,16.274549,5.902393,3.977752,0.300634,-0.027981,0.543623
0.050000,5.623679,16.377866,6.102030,3.992741,0.299784,-0.017014,0.544119
0.050000,5.795145,16.481568,6.302415,4.007716,0.299499,-0.005687,0.543591
0.050000,5.967360,16.585479,6.503551,4.022705,0.299787,0.005756,0.542041
0.050000,6.140433,16.689421,6.705437,4.037737,0.300641,0.017074,0.539463
0.050000,6.314475,16.793214,6.908079,4.052839,0.302042,0.028021,0.535853
0.050000,6.489599,16.896674,7.111481,4.068037,0.303959,0.038342,0.531206
0.050000,6.665917,16.999614,7.315649,4.083355,0.306347,0.047759,0.525512
0.050000,6.843541,17.101840,7.520590,4.098812,0.309145,0.055972,0.518762
0.050000,7.022585,17.203154,7.726311,4.114426,0.312278,0.062645,0.510945
0.050000,7.203159,17.303352,7.932821,4.130208,0.315648,0.067408,0.502050
0.050000,7.385372,17.402221,8.140130,4.146165,0.319140,0.069846,0.492065
0.050000,7.569330,17.499542,8.348244,4.162296,0.322616,0.069509,0.480978
0.050000,7.755132,17.595088,8.557174,4.178592,0.325911,0.065904,0.468777
0.050000,7.942875,17.688621,8.766926,4.195033,0.328836,0.058509,0.455453
0.050000,8.132645,17.779896,8.977505,4.211592,0.331176,0.046788,0.440998
0.050000,8.324519,17.868659,9.188917,4.228226,0.332686,0.030206,0.425405
0.050000,8.518565,17.954647,9.401161,4.244881,0.333099,0.008264,0.408675
0.050000,8.714833,18.037589,9.614235,4.261488,0.332126,-0.019465,0.390810
0.050000,8.913361,18.117207,9.828133,4.277961,0.329462,-0.053287,0.371819
0.050000,9.114051,18.193173,10.042719,4.291716,0.275106,-1.087113,0.351731
0.050000,9.313113,18.263910,10.253976,4.225141,-1.331508,-32.132292,0.330972
0.050000,9.506697,18.328185,10.457952,4.079520,-2.912412,-31.618075,0.310040
0.050000,9.694529,18.386211,10.654542,3.931800,-2.954405,-0.839861,0.289080
0.050000,9.876335,18.438236,10.843645,3.782059,-2.994808,-0.808063,0.268228
0.050000,10.051848,18.484545,11.025165,3.630403,-3.033132,-0.766468,0.247617
0.050000,10.220815,18.525452,11.199013,3.476955,-3.068948,-0.716325,0.227367
0.050000,10.382994,18.561295,11.365106,3.321860,-3.101914,-0.659325,0.207593
0.050000,10.538165,18.592430,11.523369,3.165270,-3.131786,-0.597441,0.188396
0.050000,10.686126,18.619225,11.673737,3.007349,-3.158424,-0.532750,0.169866
0.050000,10.826697,18.642054,11.816150,2.848260,-3.181789,-0.467297,0.152084
0.050000,10.959721,18.661291,11.950558,2.688163,-3.201936,-0.402945,0.135119
0.050000,11.085063,18.677306,12.076919,2.527213,-3.219001,-0.341301,0.119029
0.050000,11.202607,18.690461,12.195196,2.365554,-3.233184,-0.283654,0.103861
0.050000,11.312257,18.701104,12.305362,2.203317,-3.244731,-0.230942,0.089657
0.050000,11.413937,18.709569,12.407393,2.040621,-3.253920,-0.183788,0.076446
0.050000,11.507583,18.716168,12.501272,1.877569,-3.261045,-0.142505,0.064254
0.050000,11.593148,18.721195,12.586984,1.714249,-3.266403,-0.107144,0.053098
