dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003943,14.231999,0.003704,0.148148,2.962963,59.259259,6.282671
0.050000,0.016227,14.231983,0.015987,0.245669,1.950408,-20.251093,6.281070
0.050000,0.036699,14.231912,0.036460,0.409456,3.275745,26.506738,6.278400
0.050000,0.065361,14.231721,0.065123,0.573253,3.275948,0.004051,6.274661
0.050000,0.102212,14.231319,0.101976,0.737060,3.276142,0.003892,6.269853
0.050000,0.147250,14.230586,0.147019,0.900872,3.276239,0.001939,6.263975
0.050000,0.200470,14.229378,0.200253,1.064678,3.276121,-0.002359,6.257027
0.050000,0.261865,14.227526,0.261676,1.228461,3.275644,-0.009546,6.249011
0.050000,0.331422,14.224831,0.331286,1.392192,3.274634,-0.020196,6.239930
0.050000,0.409123,14.221074,0.409078,1.555837,3.272891,-0.034859,6.229791
0.050000,0.494941,14.216005,0.495045,1.719346,3.270187,-0.054085,6.218603
0.050000,0.588839,14.209356,0.589178,1.882660,3.266269,-0.078363,6.206378
0.050000,0.690768,14.200832,0.691463,2.045703,3.260863,-0.108119,6.193136
0.050000,0.800667,14.190119,0.801882,2.208387,3.253680,-0.143658,6.178901
0.050000,0.918456,14.176884,0.920413,2.370608,3.244424,-0.185128,6.163704
0.050000,1.044040,14.160778,1.047025,2.532248,3.232801,-0.232460,6.147585
0.050000,1.177303,14.141440,1.181684,2.693175,3.218534,-0.285334,6.130593
0.050000,1.318108,14.118498,1.324346,2.853244,3.201378,-0.343126,6.112786
0.050000,1.466298,14.091578,1.474961,3.012300,3.181134,-0.404877,6.094234
0.050000,1.621692,14.060307,1.633470,3.170184,3.157669,-0.469295,6.075017
0.050000,1.784088,14.024316,1.799807,3.326730,3.130931,-0.534761,6.055225
0.050000,1.953264,13.983251,1.973896,3.481778,3.100961,-0.599402,6.034962
0.050000,2.128980,13.936773,2.155654,3.635173,3.067902,-0.661177,6.014340
0.050000,2.310980,13.884570,2.344993,3.786774,3.032002,-0.718000,5.993482
0.050000,2.498998,13.826359,2.541816,3.936454,2.993607,-0.767911,5.972519
0.050000,2.692759,13.761890,2.746021,4.084111,2.953145,-0.809228,5.951590
0.050000,2.891991,13.690954,2.957505,4.229667,2.911109,-0.840716,5.930837
0.050000,3.092727,13.614830,3.172190,4.293710,1.280863,-32.604934,5.910770
0.050000,3.291186,13.535107,3.386063,4.277461,-0.324970,-32.116658,5.891814
0.050000,3.487386,13.452068,3.599112,4.260983,-0.329571,-0.092018,5.873983
0.050000,3.681365,13.365991,3.811331,4.244374,-0.332179,-0.052164,5.857287
0.050000,3.873174,13.277148,4.022717,4.227718,-0.333106,-0.018530,5.841730
0.050000,4.062881,13.185800,4.233271,4.211086,-0.332655,0.009016,5.827309
0.050000,4.250563,13.092202,4.442998,4.194530,-0.331115,0.030789,5.814019
0.050000,4.436308,12.996599,4.651902,4.178092,-0.328755,0.047215,5.801853
0.050000,4.620211,12.899227,4.859992,4.161801,-0.325815,0.058796,5.790799
0.050000,4.802372,12.800314,5.067276,4.145676,-0.322512,0.066067,5.780848
0.050000,4.982898,12.700080,5.273762,4.129724,-0.319033,0.069565,5.771986
0.050000,5.161897,12.598734,5.479460,4.113947,-0.315543,0.069810,5.764202
0.050000,5.339480,12.496484,5.684377,4.098338,-0.312178,0.067295,5.757484
0.050000,5.515760,12.393526,5.888521,4.082885,-0.309055,0.062468,5.751822
0.050000,5.690849,12.290053,6.091900,4.067572,-0.306268,0.055743,5.747207
0.050000,5.864860,12.186252,6.294518,4.052377,-0.303893,0.047488,5.743629
0.050000,6.037905,12.082308,6.496382,4.037278,-0.301991,0.038039,5.741082
0.050000,6.210096,11.978401,6.697495,4.022248,-0.300606,0.027695,5.739563
0.050000,6.381540,11.874709,6.897858,4.007259,-0.299770,0.016733,5.739067
0.050000,6.552345,11.771406,7.097472,3.992284,-0.299499,0.005408,5.739594
0.050000,6.722615,11.668668,7.296337,3.977294,-0.299801,-0.006035,5.741145
0.050000,6.892453,11.566668,7.494450,3.962261,-0.300669,-0.017355,5.743723
0.050000,7.061957,11.465582,7.691807,3.947156,-0.302084,-0.028307,5.747332
0.050000,7.231222,11.365582,7.888405,3.931956,-0.304016,-0.038634,5.751980
0.050000,7.400341,11.266845,8.084237,3.916635,-0.306419,-0.048059,5.757674
0.050000,7.569400,11.169547,8.279296,3.901173,-0.309233,-0.056281,5.764424
0.050000,7.738484,11.073868,8.473573,3.885554,-0.312381,-0.062965,5.772240
0.050000,7.907671,10.979987,8.667062,3.869765,-0.315768,-0.067738,5.781135
0.050000,8.077034,10.888089,8.859752,3.853802,-0.319278,-0.070189,5.791120
0.050000,8.246644,10.798357,9.051635,3.837663,-0.322771,-0.069861,5.802207
0.050000,8.416561,10.710978,9.242703,3.821359,-0.326084,-0.066264,5.814408
0.050000,8.586844,10.626142,9.432948,3.804907,-0.329028,-0.058876,5.827732
0.050000,8.757541,10.544038,9.622365,3.788338,-0.331385,-0.047155,5.842188
0.050000,8.928698,10.464857,9.810950,3.771693,-0.332914,-0.030569,5.857780
0.050000,9.100350,10.388790,9.998701,3.755025,-0.333345,-0.008615,5.874510
0.050000,9.272526,10.316026,10.185621,3.738406,-0.332388,0.019135,5.892375
0.050000,9.445249,10.246755,10.371717,3.721919,-0.329738,0.052989,5.911366
0.050000,9.618432,10.181198,10.556894,3.703529,-0.367791,-0.761053,5.931455
0.050000,9.788858,10.120635,10.737760,3.617330,-1.723982,-27.123828,5.952214
0.050000,9.953359,10.066013,10.911093,3.466658,-3.013452,-25.789401,5.973145
0.050000,10.111872,10.017043,11.076997,3.318087,-2.971420,0.840654,5.994106
0.050000,10.264329,9.973415,11.235574,3.171538,-2.930983,0.808745,6.014957
0.050000,10.410666,9.934802,11.386920,3.026906,-2.892632,0.767021,6.035569
0.050000,10.550820,9.900870,11.531123,2.884066,-2.856794,0.716741,6.055818
0.050000,10.684732,9.871273,11.668267,2.742876,-2.823814,0.659605,6.075592
0.050000,10.812347,9.845666,11.798426,2.603179,-2.793935,0.597586,6.094790
0.050000,10.933615,9.823704,11.921666,2.464814,-2.767296,0.532777,6.113319
0.050000,11.048491,9.805048,12.038047,2.327617,-2.743935,0.467215,6.131101
0.050000,11.156934,9.789366,12.147618,2.191427,-2.723797,0.402776,6.148066
0.050000,11.258910,9.776336,12.250423,2.056090,-2.706743,0.341064,6.164157
0.050000,11.354387,9.765650,12.346496,1.921461,-2.692575,0.283362,6.179324
0.050000,11.443339,9.757015,12.435867,1.787409,-2.681044,0.230620,6.193529
0.050000,11.525745,9.750155,12.518557,1.653816,-2.671872,0.183447,6.206739
0.050000,11.601586,9.744811,12.594586,1.520577,-2.664764,0.142155,6.218932
0.050000,11.670847,9.740742,12.663966,1.387606,-2.659424,0.106805,6.230087
0.050000,11.733516,9.737729,12.726708,1.254828,-2.655562,0.077235,6.240194
0.050000,11.789583,9.735571,12.782817,1.122183,-2.652905,0.053139,6.249241
0.050000,11.839042,9.734089,12.832298,0.989623,-2.651201,0.034088,6.257224
0.050000,11.881887,9.733125,12.875154,0.857112,-2.650222,0.019581,6.264138
0.050000,11.918113,9.732540,12.911385,0.724623,-2.649768,0.009079,6.269983
0.050000,11.947719,9.732220,12.940992,0.592140,-2.649667,0.002017,6.274758
0.050000,11.970701,9.732069,12.963975,0.459651,-2.649775,-0.002168,6.278463
0.050000,11.987058,9.732013,12.980332,0.327152,-2.649977,-0.004027,6.281100
0.050000,11.996790,9.732001,12.990064,0.194643,-2.650182,-0.004107,6.282668
0.050000,12.000000,9.732000,12.993274,0.064193,-2.609002,0.823598,6.283185
