dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003191,12.767999,0.003704,0.148148,2.962963,59.259259,6.282671
0.050000,0.013129,12.767986,0.013642,0.198776,1.012554,-39.008184,6.281070
0.050000,0.029693,12.767929,0.030207,0.331285,2.650177,32.752468,6.278400
0.050000,0.052882,12.767775,0.053396,0.463783,2.649971,-0.004134,6.274661
0.050000,0.082694,12.767449,0.083209,0.596272,2.649770,-0.004012,6.269853
0.050000,0.119127,12.766856,0.119647,0.728755,2.649665,-0.002089,6.263975
0.050000,0.162178,12.765879,0.162709,0.861244,2.649774,0.002170,6.257027
0.050000,0.211843,12.764381,0.212397,0.993756,2.650240,0.009329,6.249011
0.050000,0.268117,12.762201,0.268713,1.126318,2.651238,0.019943,6.239930
0.050000,0.330992,12.759160,0.331661,1.258966,2.652967,0.034581,6.229791
0.050000,0.400458,12.755057,0.401249,1.391749,2.655655,0.053777,6.218603
0.050000,0.476504,12.749672,0.477485,1.524727,2.659557,0.078035,6.206378
0.050000,0.559114,12.742764,0.560384,1.657974,2.664946,0.107777,6.193136
0.050000,0.648271,12.734072,0.649963,1.791579,2.672112,0.143312,6.178901
0.050000,0.743951,12.723322,0.746245,1.925647,2.681351,0.184784,6.163704
0.050000,0.846129,12.710217,0.849260,2.060295,2.692958,0.232137,6.147585
0.050000,0.954773,12.694451,0.959043,2.195655,2.707210,0.285046,6.130593
0.050000,1.069850,12.675701,1.075636,2.331873,2.724354,0.342889,6.112786
0.050000,1.191317,12.653635,1.199091,2.469103,2.744590,0.404712,6.094234
0.050000,1.319129,12.627913,1.329467,2.607505,2.768051,0.469216,6.075017
0.050000,1.453237,12.598190,1.466829,2.747245,2.794790,0.534790,6.055225
0.050000,1.593586,12.564121,1.611253,2.888483,2.824768,0.599553,6.034962
0.050000,1.740115,12.525363,1.762822,3.031375,2.857841,0.661458,6.014340
0.050000,1.892763,12.481577,1.921625,3.176063,2.893762,0.718421,5.993482
0.050000,2.051463,12.432440,2.087759,3.322672,2.932185,0.768468,5.972519
0.050000,2.216151,12.377642,2.261324,3.471306,2.972681,0.809913,5.951590
0.050000,2.386761,12.316895,2.442426,3.622044,3.014757,0.841512,5.930837
0.050000,2.560028,12.251185,2.627734,3.706156,1.682234,-26.650460,5.910770
0.050000,2.732734,12.181805,2.813855,3.722419,0.325259,-27.139491,5.891814
0.050000,2.904894,12.108938,3.000800,3.738911,0.329847,0.091764,5.873983
0.050000,3.076530,12.032773,3.188577,3.755533,0.332440,0.051865,5.857287
0.050000,3.247672,11.953500,3.377187,3.772201,0.333350,0.018200,5.841730
0.050000,3.418356,11.871310,3.566629,3.788845,0.332882,-0.009368,5.827309
0.050000,3.588627,11.786393,3.756900,3.805411,0.331324,-0.031152,5.814019
0.050000,3.758534,11.698940,3.947993,3.821858,0.328945,-0.047582,5.801853
0.050000,3.928135,11.609139,4.139901,3.838158,0.325987,-0.059162,5.790799
0.050000,4.097492,11.517178,4.332615,3.854291,0.322666,-0.066428,5.780848
0.050000,4.266675,11.423240,4.526128,3.870250,0.319170,-0.069917,5.771986
0.050000,4.435756,11.327508,4.720429,3.886033,0.315662,-0.070153,5.764202
0.050000,4.604816,11.230164,4.915512,3.901647,0.312281,-0.067625,5.757484
0.050000,4.773938,11.131386,5.111367,3.917104,0.309142,-0.062788,5.751822
0.050000,4.943209,11.031350,5.307988,3.932421,0.306339,-0.056051,5.747207
0.050000,5.112722,10.930233,5.505369,3.947618,0.303950,-0.047788,5.743629
0.050000,5.282571,10.828209,5.703505,3.962720,0.302033,-0.038330,5.741082
0.050000,5.452856,10.725451,5.902393,3.977752,0.300634,-0.027981,5.739563
0.050000,5.623679,10.622134,6.102030,3.992741,0.299784,-0.017014,5.739067
0.050000,5.795145,10.518432,6.302415,4.007716,0.299499,-0.005687,5.739594
0.050000,5.967360,10.414521,6.503551,4.022705,0.299787,0.005756,5.741145
0.050000,6.140433,10.310579,6.705437,4.037737,0.300641,0.017074,5.743723
0.050000,6.314475,10.206786,6.908079,4.052839,0.302042,0.028021,5.747332
0.050000,6.489599,10.103326,7.111481,4.068037,0.303959,0.038342,5.751980
0.050000,6.665917,10.000386,7.315649,4.083355,0.306347,0.047759,5.757674
0.050000,6.843541,9.898160,7.520590,4.098812,0.309145,0.055972,5.764424
0.050000,7.022585,9.796846,7.726311,4.114426,0.312278,0.062645,5.772240
0.050000,7.203159,9.696648,7.932821,4.130208,0.315648,0.067408,5.781135
0.050000,7.385372,9.597779,8.140130,4.146165,0.319140,0.069846,5.791120
0.050000,7.569330,9.500458,8.348244,4.162296,0.322616,0.069509,5.802207
0.050000,7.755132,9.404912,8.557174,4.178592,0.325911,0.065904,5.814408
0.050000,7.942875,9.311379,8.766926,4.195033,0.328836,0.058509,5.827732
0.050000,8.132645,9.220104,8.977505,4.211592,0.331176,0.046788,5.842188
0.050000,8.324519,9.131341,9.188917,4.228226,0.332686,0.030206,5.857780
0.050000,8.518565,9.045353,9.401161,4.244881,0.333099,0.008264,5.874510
0.050000,8.714833,8.962411,9.614235,4.261488,0.332126,-0.019465,5.892375
0.050000,8.913361,8.882793,9.828133,4.277961,0.329462,-0.053287,5.911366
0.050000,9.114051,8.806827,10.042719,4.291716,0.275106,-1.087113,5.931455
0.050000,9.313113,8.736090,10.253976,4.225141,-1.331508,-32.132292,5.952214
0.050000,9.506697,8.671815,10.457952,4.079520,-2.912412,-31.618075,5.973145
0.050000,9.694529,8.613789,10.654542,3.931800,-2.954405,-0.839861,5.994106
0.050000,9.876335,8.561764,10.843645,3.782059,-2.994808,-0.808063,6.014957
0.050000,10.051848,8.515455,11.025165,3.630403,-3.033132,-0.766468,6.035569
0.050000,10.220815,8.474548,11.199013,3.476955,-3.068948,-0.716325,6.055818
0.050000,10.382994,8.438705,11.365106,3.321860,-3.101914,-0.659325,6.075592
0.050000,10.538165,8.407570,11.523369,3.165270,-3.131786,-0.597441,6.094790
0.050000,10.686126,8.380775,11.673737,3.007349,-3.158424,-0.532750,6.113319
0.050000,10.826697,8.357946,11.816150,2.848260,-3.181789,-0.467297,6.131101
0.050000,10.959721,8.338709,11.950558,2.688163,-3.201936,-0.402945,6.148066
0.050000,11.085063,8.322694,12.076919,2.527213,-3.219001,-0.341301,6.164157
0.050000,11.202607,8.309539,12.195196,2.365554,-3.233184,-0.283654,6.179324
0.050000,11.312257,8.298896,12.305362,2.203317,-3.244731,-0.230942,6.193529
0.050000,11.413937,8.290431,12.407393,2.040621,-3.253920,-0.183788,6.206739
0.050000,11.507583,8.283832,12.501272,1.877569,-3.261045,-0.142505,6.218932
0.050000,11.593148,8.278805,12.586984,1.714249,-3.266403,-0.107144,6.230087
0.050000,11.670595,8.275082,12.664521,1.550735,-3.270281,-0.077563,6.240194
0.050000,11.739898,8.272414,12.733875,1.387087,-3.272953,-0.053445,6.249241
0.050000,11.801038,8.270582,12.795043,1.223353,-3.274671,-0.034367,6.257224
0.050000,11.854003,8.269390,12.848021,1.059570,-3.275663,-0.019832,6.264138
0.050000,11.898786,8.268668,12.892809,0.895764,-3.276128,-0.009297,6.269983
0.050000,11.935381,8.268272,12.929407,0.731952,-3.276238,-0.002201,6.274758
0.050000,11.963788,8.268085,12.957814,0.568145,-3.276137,0.002015,6.278463
0.050000,11.984005,8.268017,12.978032,0.404348,-3.275942,0.003911,6.281100
0.050000,11.996033,8.268001,12.990060,0.240561,-3.275740,0.004022,6.282668
0.050000,12.000000,8.268000,12.994027,0.079335,-3.224522,1.024362,6.283185
0.050000,12.000000,8.268000,12.994027,0.000000,-1.586699,32.756473,6.283185
