dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002890,22.232001,0.003704,0.148148,2.962963,59.259259,0.000992
0.050000,0.011766,22.232024,0.012580,0.177531,0.587652,-47.506228,0.004045
0.050000,0.026550,22.232121,0.027365,0.295688,2.363142,35.509810,0.009146
0.050000,0.047227,22.232384,0.048043,0.413561,2.357470,-0.113451,0.016315
0.050000,0.073774,22.232940,0.074596,0.531061,2.350002,-0.149344,0.025578
0.050000,0.106164,22.233953,0.107002,0.648124,2.341253,-0.174991,0.036964
0.050000,0.144364,22.235625,0.145238,0.764721,2.331932,-0.186417,0.050504
0.050000,0.188333,22.238194,0.189281,0.880870,2.322984,-0.178963,0.066231
0.050000,0.238024,22.241937,0.239114,0.996651,2.315620,-0.147281,0.084167
0.050000,0.293388,22.247170,0.294725,1.112218,2.311347,-0.085449,0.104329
0.050000,0.354370,22.254245,0.356116,1.227817,2.311980,0.012662,0.126714
0.050000,0.420912,22.263555,0.423306,1.343798,2.319621,0.152803,0.151295
0.050000,0.492956,22.275526,0.496337,1.460628,2.336589,0.339372,0.178015
0.050000,0.570443,22.290622,0.575282,1.578893,2.365298,0.574185,0.206776
0.050000,0.653320,22.309341,0.660246,1.699295,2.408047,0.854966,0.237431
0.050000,0.741536,22.332210,0.751378,1.822632,2.466745,1.173958,0.269779
0.050000,0.835043,22.359783,0.848866,1.949762,2.542592,1.516955,0.303563
0.050000,0.933801,22.392634,0.952944,2.081550,2.635760,1.863360,0.338463
0.050000,1.037768,22.431344,1.063884,2.218807,2.745147,2.187725,0.374106
0.050000,1.146908,22.476496,1.181995,2.362222,2.868291,2.462890,0.410072
0.050000,1.261182,22.528656,1.307610,2.512297,3.001512,2.664414,0.445906
0.050000,1.380550,22.588357,1.441076,2.669311,3.140277,2.775307,0.481133
0.050000,1.504975,22.656087,1.582741,2.833299,3.279767,2.789793,0.515279
0.050000,1.634429,22.732264,1.732944,3.004075,3.415514,2.714951,0.547880
0.050000,1.768899,22.817230,1.892008,3.181275,3.544000,2.569713,0.578497
0.050000,1.908404,22.911234,2.060229,3.364429,3.663080,2.381602,0.606723
0.050000,2.053010,23.014429,2.237881,3.553039,3.772194,2.182284,0.632187
0.050000,2.200126,23.124775,2.421782,3.678008,2.499374,-25.456401,0.654176
0.050000,2.347237,23.239794,2.608520,3.734756,1.134963,-27.288220,0.672291
0.050000,2.494603,23.358913,2.798009,3.789784,1.100557,-0.688124,0.686647
0.050000,2.642526,23.481574,2.990172,3.843273,1.069796,-0.615220,0.697351
0.050000,2.791345,23.607235,3.184949,3.895521,1.044955,-0.496811,0.704487
0.050000,2.941441,23.735360,3.382293,3.946897,1.027517,-0.348765,0.708115
0.050000,3.093229,23.865425,3.582184,3.997815,1.018363,-0.183092,0.708264
0.050000,3.247158,23.996901,3.784620,4.048710,1.017905,-0.009149,0.704936
0.050000,3.403712,24.129249,3.989621,4.100018,1.026159,0.165071,0.698104
0.050000,3.563406,24.261910,4.197228,4.152155,1.042741,0.331635,0.687710
0.050000,3.726780,24.394290,4.407503,4.205496,1.066809,0.481364,0.673671
0.050000,3.894397,24.525747,4.620520,4.260343,1.096936,0.602543,0.655884
0.050000,4.066831,24.655575,4.836365,4.316889,1.130921,0.679710,0.634233
0.050000,4.244655,24.782988,5.055123,4.375167,1.165558,0.692729,0.608598
0.050000,4.428414,24.907105,5.276872,4.434986,1.196385,0.616551,0.578875
0.050000,4.618603,25.026939,5.501665,4.495861,1.217504,0.422372,0.544990
0.050000,4.815620,25.141388,5.729512,4.556939,1.221559,0.081101,0.506929
0.050000,5.019722,25.249243,5.960359,4.616942,1.200065,-0.429887,0.464765
0.050000,5.230970,25.349210,6.194067,4.674154,1.144242,-1.116445,0.418688
0.050000,5.449179,25.439952,6.430391,4.726479,1.046484,-1.955174,0.369032
0.050000,5.673873,25.520157,6.668971,4.771596,0.902341,-2.882859,0.316289
0.050000,5.904277,25.588623,6.909332,4.807226,0.712614,-3.794529,0.261109
0.050000,6.139335,25.644348,7.150905,4.831465,0.484779,-4.556711,0.204271
0.050000,6.377772,25.686623,7.393061,4.843111,0.232913,-5.037326,0.146635
0.050000,6.618188,25.715082,7.635156,4.841896,-0.024288,-5.144020,0.089083
0.050000,6.859171,25.729721,7.876583,4.828545,-0.267024,-4.854714,0.032444
0.050000,7.083068,25.731985,8.100492,4.478170,-7.007503,-134.809577,6.282805
0.050000,7.284248,25.731763,8.301671,4.023592,-9.091572,-41.681371,6.281194
0.050000,7.486151,25.731115,8.503576,4.038095,0.290060,187.632628,6.278592
0.050000,7.688791,25.729835,8.706219,4.052865,0.295402,0.106847,6.274981
0.050000,7.892180,25.727712,8.909619,4.068008,0.302863,0.149217,6.270335
0.050000,8.096337,25.724523,9.113801,4.083635,0.312537,0.193479,6.264622
0.050000,8.301281,25.720037,9.318794,4.099862,0.324545,0.240159,6.257800
0.050000,8.507033,25.714011,9.524635,4.116814,0.339034,0.289777,6.249820
0.050000,8.713616,25.706186,9.731366,4.134622,0.356175,0.342832,6.240624
0.050000,8.921051,25.696284,9.939038,4.153431,0.376164,0.399778,6.230142
0.050000,9.129360,25.684011,10.147707,4.173391,0.399213,0.460980,6.218297
0.050000,9.338558,25.669045,10.357441,4.194669,0.425546,0.526657,6.204998
0.050000,9.548660,25.651040,10.568313,4.217438,0.455385,0.596783,6.190143
0.050000,9.759670,25.629619,10.780407,4.241884,0.488933,0.670948,6.173617
0.050000,9.971581,25.604371,10.993817,4.268201,0.526342,0.748176,6.155294
0.050000,10.184372,25.574847,11.208646,4.296585,0.567673,0.826627,6.135030
0.050000,10.397999,25.540554,11.425007,4.327227,0.612836,0.903266,6.112672
0.050000,10.612388,25.500957,11.643023,4.360302,0.661504,0.973349,6.088054
0.050000,10.827426,25.455467,11.862820,4.395952,0.712997,1.029876,6.060999
0.050000,11.042951,25.403451,12.084533,4.434259,0.766143,1.062908,6.031325
0.050000,11.258731,25.344224,12.308294,4.475214,0.819091,1.058955,5.998852
0.050000,11.474451,25.277061,12.534227,4.518670,0.869119,1.000561,5.963407
0.050000,11.689690,25.201206,12.762442,4.564292,0.912444,0.866516,5.924844
0.050000,11.903902,25.115895,12.993017,4.611497,0.944104,0.633190,5.883052
