dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004342,20.768002,0.003704,0.148148,2.962963,59.259259,0.000992
0.050000,0.017688,20.768036,0.017049,0.266914,2.375308,-11.753100,0.004045
0.050000,0.039940,20.768183,0.039302,0.445052,3.562771,23.749265,0.009146
0.050000,0.071111,20.768579,0.070476,0.623474,3.568428,0.113137,0.016315
0.050000,0.111216,20.769419,0.110589,0.802267,3.575873,0.148895,0.025578
0.050000,0.160267,20.770953,0.159664,0.981497,3.584592,0.174393,0.036964
0.050000,0.218271,20.773491,0.217723,1.161191,3.593876,0.185665,0.050504
0.050000,0.285223,20.777403,0.284790,1.341329,3.602778,0.178055,0.066231
0.050000,0.361100,20.783119,0.360882,1.521834,3.610089,0.146209,0.084167
0.050000,0.445850,20.791130,0.446009,1.702549,3.614300,0.084231,0.104329
0.050000,0.539383,20.801983,0.540170,1.883229,3.613600,-0.014010,0.126714
0.050000,0.641564,20.816278,0.643347,2.063523,3.605889,-0.154224,0.151295
0.050000,0.752196,20.834661,0.755495,2.242966,3.588849,-0.340798,0.178015
0.050000,0.871011,20.857808,0.876543,2.420970,3.560074,-0.575499,0.206776
0.050000,0.997662,20.886413,1.006385,2.596833,3.517272,-0.856038,0.237431
0.050000,1.131719,20.921163,1.144873,2.769760,3.458541,-1.174625,0.269779
0.050000,1.272665,20.962721,1.291818,2.938895,3.382689,-1.517043,0.303563
0.050000,1.419904,21.011692,1.446986,3.103372,3.289552,-1.862726,0.338463
0.050000,1.572773,21.068602,1.610106,3.262384,3.180239,-2.186264,0.374106
0.050000,1.730569,21.133873,1.780868,3.415245,3.057210,-2.460584,0.410072
0.050000,1.892569,21.207805,1.958940,3.561452,2.924143,-2.661341,0.445906
0.050000,2.058066,21.290564,2.143977,3.700730,2.785560,-2.771648,0.481133
0.050000,2.226402,21.382180,2.335629,3.833043,2.646270,-2.785811,0.515279
0.050000,2.396995,21.482548,2.533558,3.958579,2.510722,-2.710950,0.547880
0.050000,2.569364,21.591444,2.737443,4.077700,2.382422,-2.566000,0.578497
0.050000,2.743145,21.708528,2.946987,4.190875,2.263500,-2.378446,0.606723
0.050000,2.918103,21.833366,3.161917,4.298601,2.154505,-2.179891,0.632187
0.050000,3.090978,21.963019,3.378008,4.321831,0.464608,-33.797949,0.654176
0.050000,3.258987,22.094364,3.591265,4.265135,-1.133927,-31.970706,0.672291
0.050000,3.422703,22.226691,3.801773,4.210148,-1.099744,0.683673,0.686647
0.050000,3.582691,22.359351,4.009607,4.156688,-1.069186,0.611157,0.697351
0.050000,3.739495,22.491749,4.214830,4.104462,-1.044531,0.493093,0.704487
0.050000,3.893631,22.623321,4.417485,4.053098,-1.027265,0.345313,0.708115
0.050000,4.045584,22.753528,4.617594,4.002185,-1.018275,0.179808,0.708264
0.050000,4.195809,22.881841,4.815159,3.951286,-1.017979,0.005925,0.704936
0.050000,4.344722,23.007734,5.010157,3.899966,-1.026396,-0.168346,0.698104
0.050000,4.492708,23.130675,5.202547,3.847809,-1.043150,-0.335068,0.687710
0.050000,4.640109,23.250120,5.392269,3.794438,-1.067402,-0.485055,0.673671
0.050000,4.787232,23.365513,5.579247,3.739552,-1.097731,-0.606574,0.655884
0.050000,4.934338,23.476284,5.763394,3.682955,-1.131937,-0.684127,0.634233
0.050000,5.081650,23.581848,5.944625,3.624614,-1.166813,-0.697523,0.608598
0.050000,5.229343,23.681622,6.122861,3.564720,-1.197895,-0.621622,0.578875
0.050000,5.377555,23.775025,6.298049,3.503756,-1.219269,-0.427490,0.544990
0.050000,5.526384,23.861501,6.470178,3.442578,-1.223563,-0.085871,0.506929
0.050000,5.675905,23.940534,6.639301,3.382465,-1.202260,0.426050,0.464765
0.050000,5.826177,24.011665,6.805558,3.325138,-1.146546,1.114292,0.418688
0.050000,5.977262,24.074513,6.969193,3.272699,-1.048770,1.955520,0.369032
0.050000,6.129238,24.128777,7.130567,3.227477,-0.904449,2.886402,0.316289
0.050000,6.282212,24.174246,7.290155,3.191758,-0.714370,3.801594,0.261109
0.050000,6.436312,24.210786,7.448528,3.167457,-0.486018,4.567029,0.204271
0.050000,6.591677,24.238335,7.606317,3.155781,-0.233521,5.049948,0.146635
0.050000,6.748433,24.256887,7.764167,3.156999,0.024353,5.157477,0.089083
0.050000,6.906661,24.266492,7.922686,3.170385,0.267721,4.867362,0.032444
0.050000,7.082512,24.267985,8.098543,3.517139,6.935085,133.347272,6.282805
0.050000,7.281332,24.267766,8.297363,3.976408,9.185367,45.005651,6.281194
0.050000,7.479426,24.267131,8.495458,3.961903,-0.290088,-189.509097,6.278592
0.050000,7.676779,24.265885,8.692815,3.947131,-0.295444,-0.107126,6.274981
0.050000,7.873367,24.263832,8.889414,3.931985,-0.302920,-0.149520,6.270335
0.050000,8.069161,24.260775,9.085232,3.916354,-0.312611,-0.193814,6.264622
0.050000,8.264121,24.256509,9.280238,3.900123,-0.324638,-0.240537,6.257800
0.050000,8.458196,24.250826,9.474396,3.883165,-0.339148,-0.290210,6.249820
0.050000,8.651325,24.243512,9.667664,3.865349,-0.356315,-0.343334,6.240624
0.050000,8.843433,24.234344,9.859990,3.846533,-0.376333,-0.400362,6.230142
0.050000,9.034430,24.223092,10.051319,3.826562,-0.399416,-0.461669,6.218297
0.050000,9.224209,24.209517,10.241582,3.805273,-0.425790,-0.527471,6.204998
0.050000,9.412643,24.193372,10.430707,3.782489,-0.455677,-0.597748,6.190143
0.050000,9.599583,24.174398,10.618608,3.758025,-0.489282,-0.672099,6.173617
0.050000,9.784858,24.152327,10.805192,3.731687,-0.526759,-0.749541,6.155294
0.050000,9.968265,24.126885,10.990356,3.703278,-0.568172,-0.828253,6.135030
0.050000,10.149575,24.097786,11.173986,3.672606,-0.613431,-0.905185,6.112672
0.050000,10.328525,24.064740,11.355961,3.639496,-0.662212,-0.975608,6.088054
0.050000,10.504815,24.027455,11.536151,3.603804,-0.713837,-1.032505,6.060999
0.050000,10.678114,23.985639,11.714424,3.565447,-0.767133,-1.065927,6.031325
0.050000,10.848053,23.939005,11.890645,3.524435,-0.820251,-1.062349,5.998852
0.050000,11.014234,23.887278,12.064691,3.480912,-0.870464,-1.004268,5.963407
0.050000,11.176234,23.830200,12.236452,3.435212,-0.913984,-0.870396,5.924844
0.050000,11.333614,23.767538,12.405848,3.387921,-0.945834,-0.636997,5.883052
0.050000,11.485937,23.699087,12.572844,3.339926,-0.959888,-0.281079,5.837984
0.050000,11.632782,23.624673,12.737467,3.292467,-0.949189,0.213979,5.789677
0.050000,11.773766,23.544156,12.899824,3.247133,-0.906674,0.850290,5.738276
0.050000,11.908564,23.457423,13.060115,3.205815,-0.826371,1.606065,5.684055
0.050000,12.036919,23.364384,13.218643,3.170566,-0.704965,2.428109,5.627429
0.050000,12.158651,23.264967,13.375813,3.143396,-0.543417,3.230978,5.568948
0.050000,12.273652,23.159117,13.532113,3.125993,-0.348048,3.907379,5.509280
0.050000,12.381877,23.046800,13.688086,3.119467,-0.130515,4.350651,5.449167
0.050000,12.483319,22.928013,13.844293,3.124151,0.093667,4.483642,5.389373
0.050000,12.578002,22.802806,14.001270,3.139541,0.307798,4.282617,5.330629
0.050000,12.665965,22.671291,14.159490,3.164393,0.497046,3.784969,5.273581
0.050000,12.747258,22.533660,14.319337,3.196938,0.650890,3.076869,5.218755
0.050000,12.821951,22.390180,14.481095,3.235150,0.764243,2.267065,5.166536
0.050000,12.889435,22.242813,14.643178,3.241679,0.130584,-12.673190,5.117687
0.050000,12.948938,22.095001,14.802517,3.186771,-1.098150,-24.574673,5.073071
0.050000,13.000705,21.948790,14.957622,3.102109,-1.693243,-11.901865,5.032787
0.050000,13.045508,21.804989,15.108241,3.012377,-1.794652,-2.028172,4.996491
0.050000,13.084074,21.664311,15.254110,2.917372,-1.900097,-2.108900,4.963822
0.050000,13.117087,21.527373,15.394971,2.817224,-2.002959,-2.057242,4.934429
0.050000,13.145181,21.394702,15.530584,2.712253,-2.099419,-1.929194,4.907985
0.050000,13.168937,21.266745,15.660727,2.602874,-2.187582,-1.763257,4.884187
0.050000,13.188890,21.143878,15.785204,2.489534,-2.266791,-1.584194,4.862766
0.050000,13.205520,21.026415,15.903838,2.372677,-2.337136,-1.406896,4.843482
0.050000,13.219266,20.914621,16.016474,2.252722,-2.399117,-1.239611,4.826123
0.050000,13.230519,20.808715,16.122977,2.130050,-2.453433,-1.086330,4.810504
0.050000,13.239634,20.708879,16.223227,2.005007,-2.500854,-0.948420,4.796462
0.050000,13.246924,20.615268,16.317122,1.877900,-2.542143,-0.825772,4.783858
0.050000,13.252674,20.528007,16.404572,1.748999,-2.578013,-0.717397,4.772568
0.050000,13.257131,20.447203,16.485499,1.618544,-2.609112,-0.621981,4.762486
0.050000,13.260519,20.372943,16.559836,1.486743,-2.636013,-0.538031,4.753521
0.050000,13.263033,20.305300,16.627525,1.353782,-2.659217,-0.464082,4.745593
0.050000,13.264845,20.244336,16.688517,1.219825,-2.679155,-0.398749,4.738634
0.050000,13.266104,20.190100,16.742767,1.085015,-2.696194,-0.340778,4.732587
0.050000,13.266939,20.142633,16.790242,0.949483,-2.710644,-0.289011,4.727401
0.050000,13.267461,20.101969,16.830909,0.813344,-2.722767,-0.242466,4.723035
0.050000,13.267760,20.068135,16.864744,0.676705,-2.732778,-0.200222,4.719456
0.050000,13.267913,20.041153,16.891727,0.539663,-2.740853,-0.161487,4.716635
0.050000,13.267977,20.021038,16.911842,0.402306,-2.747131,-0.125561,4.714551
0.050000,13.267997,20.007802,16.925078,0.264720,-2.751720,-0.091775,4.713189
0.050000,13.268000,20.001452,16.931428,0.126985,-2.754697,-0.059550,4.712538
0.050000,13.268000,20.000000,16.932880,0.029045,-1.958818,15.917589,4.712389
0.050000,13.268000,20.000000,16.932880,0.000000,-0.580891,27.558527,4.712389
