dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004342,6.231998,0.003704,0.148148,2.962963,59.259259,6.282193
0.050000,0.017688,6.231964,0.017049,0.266914,2.375308,-11.753100,6.279140
0.050000,0.039940,6.231817,0.039302,0.445052,3.562771,23.749265,6.274039
0.050000,0.071111,6.231421,0.070476,0.623474,3.568428,0.113137,6.266870
0.050000,0.111216,6.230581,0.110589,0.802267,3.575873,0.148895,6.257607
0.050000,0.160267,6.229047,0.159664,0.981497,3.584592,0.174393,6.246222
0.050000,0.218271,6.226509,0.217723,1.161191,3.593876,0.185665,6.232681
0.050000,0.285223,6.222597,0.284790,1.341329,3.602778,0.178055,6.216955
0.050000,0.361100,6.216881,0.360882,1.521834,3.610089,0.146209,6.199018
0.050000,0.445850,6.208870,0.446009,1.702549,3.614300,0.084231,6.178856
0.050000,0.539383,6.198017,0.540170,1.883229,3.613600,-0.014010,6.156471
0.050000,0.641564,6.183722,0.643347,2.063523,3.605889,-0.154224,6.131890
0.050000,0.752196,6.165339,0.755495,2.242966,3.588849,-0.340798,6.105170
0.050000,0.871011,6.142192,0.876543,2.420970,3.560074,-0.575499,6.076409
0.050000,0.997662,6.113587,1.006385,2.596833,3.517272,-0.856038,6.045755
0.050000,1.131719,6.078837,1.144873,2.769760,3.458541,-1.174625,6.013406
0.050000,1.272665,6.037279,1.291818,2.938895,3.382689,-1.517043,5.979622
0.050000,1.419904,5.988308,1.446986,3.103372,3.289552,-1.862726,5.944722
0.050000,1.572773,5.931398,1.610106,3.262384,3.180239,-2.186264,5.909079
0.050000,1.730569,5.866127,1.780868,3.415245,3.057210,-2.460584,5.873113
0.050000,1.892569,5.792195,1.958940,3.561452,2.924143,-2.661341,5.837280
0.050000,2.058066,5.709436,2.143977,3.700730,2.785560,-2.771648,5.802052
0.050000,2.226402,5.617820,2.335629,3.833043,2.646270,-2.785811,5.767906
0.050000,2.396995,5.517452,2.533558,3.958579,2.510722,-2.710950,5.735305
0.050000,2.569364,5.408556,2.737443,4.077700,2.382422,-2.566000,5.704688
0.050000,2.743145,5.291472,2.946987,4.190875,2.263500,-2.378446,5.676462
0.050000,2.918103,5.166634,3.161917,4.298601,2.154505,-2.179891,5.650998
0.050000,3.090978,5.036981,3.378008,4.321831,0.464608,-33.797949,5.629009
0.050000,3.258987,4.905636,3.591265,4.265135,-1.133927,-31.970706,5.610895
0.050000,3.422703,4.773309,3.801773,4.210148,-1.099744,0.683673,5.596538
0.050000,3.582691,4.640649,4.009607,4.156688,-1.069186,0.611157,5.585834
0.050000,3.739495,4.508251,4.214830,4.104462,-1.044531,0.493093,5.578698
0.050000,3.893631,4.376679,4.417485,4.053098,-1.027265,0.345313,5.575071
0.050000,4.045584,4.246472,4.617594,4.002185,-1.018275,0.179808,5.574922
0.050000,4.195809,4.118159,4.815159,3.951286,-1.017979,0.005925,5.578249
0.050000,4.344722,3.992266,5.010157,3.899966,-1.026396,-0.168346,5.585081
0.050000,4.492708,3.869325,5.202547,3.847809,-1.043150,-0.335068,5.595476
0.050000,4.640109,3.749880,5.392269,3.794438,-1.067402,-0.485055,5.609515
0.050000,4.787232,3.634487,5.579247,3.739552,-1.097731,-0.606574,5.627302
0.050000,4.934338,3.523716,5.763394,3.682955,-1.131937,-0.684127,5.648953
0.050000,5.081650,3.418152,5.944625,3.624614,-1.166813,-0.697523,5.674587
