dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002890,4.767999,0.003704,0.148148,2.962963,59.259259,6.282193
0.050000,0.011766,4.767976,0.012580,0.177531,0.587652,-47.506228,6.279140
0.050000,0.026550,4.767879,0.027365,0.295688,2.363142,35.509810,6.274039
0.050000,0.047227,4.767616,0.048043,0.413561,2.357470,-0.113451,6.266870
0.050000,0.073774,4.767060,0.074596,0.531061,2.350002,-0.149344,6.257607
0.050000,0.106164,4.766047,0.107002,0.648124,2.341253,-0.174991,6.246222
0.050000,0.144364,4.764375,0.145238,0.764721,2.331932,-0.186417,6.232681
0.050000,0.188333,4.761806,0.189281,0.880870,2.322984,-0.178963,6.216955
0.050000,0.238024,4.758063,0.239114,0.996651,2.315620,-0.147281,6.199018
0.050000,0.293388,4.752830,0.294725,1.112218,2.311347,-0.085449,6.178856
0.050000,0.354370,4.745755,0.356116,1.227817,2.311980,0.012662,6.156471
0.050000,0.420912,4.736445,0.423306,1.343798,2.319621,0.152803,6.131890
0.050000,0.492956,4.724474,0.496337,1.460628,2.336589,0.339372,6.105170
0.050000,0.570443,4.709378,0.575282,1.578893,2.365298,0.574185,6.076409
0.050000,0.653320,4.690659,0.660246,1.699295,2.408047,0.854966,6.045755
0.050000,0.741536,4.667790,0.751378,1.822632,2.466745,1.173958,6.013406
0.050000,0.835043,4.640217,0.848866,1.949762,2.542592,1.516955,5.979622
0.050000,0.933801,4.607366,0.952944,2.081550,2.635760,1.863360,5.944722
0.050000,1.037768,4.568656,1.063884,2.218807,2.745147,2.187725,5.909079
0.050000,1.146908,4.523504,1.181995,2.362222,2.868291,2.462890,5.873113
0.050000,1.261182,4.471344,1.307610,2.512297,3.001512,2.664414,5.837280
0.050000,1.380550,4.411643,1.441076,2.669311,3.140277,2.775307,5.802052
0.050000,1.504975,4.343913,1.582741,2.833299,3.279767,2.789793,5.767906
0.050000,1.634429,4.267736,1.732944,3.004075,3.415514,2.714951,5.735305
0.050000,1.768899,4.182770,1.892008,3.181275,3.544000,2.569713,5.704688
0.050000,1.908404,4.088766,2.060229,3.364429,3.663080,2.381602,5.676462
0.050000,2.053010,3.985571,2.237881,3.553039,3.772194,2.182284,5.650998
0.050000,2.200126,3.875225,2.421782,3.678008,2.499374,-25.456401,5.629009
0.050000,2.347237,3.760206,2.608520,3.734756,1.134963,-27.288220,5.610895
0.050000,2.494603,3.641087,2.798009,3.789784,1.100557,-0.688124,5.596538
0.050000,2.642526,3.518426,2.990172,3.843273,1.069796,-0.615220,5.585834
0.050000,2.791345,3.392765,3.184949,3.895521,1.044955,-0.496811,5.578698
0.050000,2.941441,3.264640,3.382293,3.946897,1.027517,-0.348765,5.575071
0.050000,3.093229,3.134575,3.582184,3.997815,1.018363,-0.183092,5.574922
0.050000,3.247158,3.003099,3.784620,4.048710,1.017905,-0.009149,5.578249
0.050000,3.403712,2.870751,3.989621,4.100018,1.026159,0.165071,5.585081
0.050000,3.563406,2.738090,4.197228,4.152155,1.042741,0.331635,5.595476
0.050000,3.726780,2.605710,4.407503,4.205496,1.066809,0.481364,5.609515
0.050000,3.894397,2.474253,4.620520,4.260343,1.096936,0.602543,5.627302
0.050000,4.066831,2.344425,4.836365,4.316889,1.130921,0.679710,5.648953
0.050000,4.244655,2.217012,5.055123,4.375167,1.165558,0.692729,5.674587
0.050000,4.428414,2.092895,5.276872,4.434986,1.196385,0.616551,5.704310
0.050000,4.618603,1.973061,5.501665,4.495861,1.217504,0.422372,5.738195
0.050000,4.815620,1.858612,5.729512,4.556939,1.221559,0.081101,5.776256
0.050000,5.019722,1.750757,5.960359,4.616942,1.200065,-0.429887,5.818421
0.050000,5.230970,1.650790,6.194067,4.674154,1.144242,-1.116445,5.864498
0.050000,5.449179,1.560048,6.430391,4.726479,1.046484,-1.955174,5.914154
0.050000,5.673873,1.479843,6.668971,4.771596,0.902341,-2.882859,5.966896
0.050000,5.904277,1.411377,6.909332,4.807226,0.712614,-3.794529,6.022076
0.050000,6.139335,1.355652,7.150905,4.831465,0.484779,-4.556711,6.078915
0.050000,6.377772,1.313377,7.393061,4.843111,0.232913,-5.037326,6.136550
0.050000,6.618188,1.284918,7.635156,4.841896,-0.024288,-5.144020,6.194102
0.050000,6.859171,1.270279,7.876583,4.828545,-0.267024,-4.854714,6.250741
0.050000,7.083068,1.268015,8.100492,4.478170,-7.007503,-134.809577,0.000380
0.050000,7.284248,1.268237,8.301671,4.023592,-9.091572,-41.681371,0.001992
0.050000,7.486151,1.268885,8.503576,4.038095,0.290060,187.632628,0.004594
0.050000,7.688791,1.270165,8.706219,4.052865,0.295402,0.106847,0.008205
0.050000,7.892180,1.272288,8.909619,4.068008,0.302863,0.149217,0.012850
0.050000,8.096337,1.275477,9.113801,4.083635,0.312537,0.193479,0.018564
0.050000,8.301281,1.279963,9.318794,4.099862,0.324545,0.240159,0.025385
0.050000,8.507033,1.285989,9.524635,4.116814,0.339034,0.289777,0.033365
0.050000,8.713616,1.293814,9.731366,4.134622,0.356175,0.342832,0.042562
0.050000,8.921051,1.303716,9.939038,4.153431,0.376164,0.399778,0.053043
0.050000,9.129360,1.315989,10.147707,4.173391,0.399213,0.460980,0.064888
0.050000,9.338558,1.330955,10.357441,4.194669,0.425546,0.526657,0.078188
0.050000,9.548660,1.348960,10.568313,4.217438,0.455385,0.596783,0.093042
0.050000,9.759670,1.370381,10.780407,4.241884,0.488933,0.670948,0.109568
0.050000,9.971581,1.395629,10.993817,4.268201,0.526342,0.748176,0.127892
0.050000,10.184372,1.425153,11.208646,4.296585,0.567673,0.826627,0.148155
0.050000,10.397999,1.459446,11.425007,4.327227,0.612836,0.903266,0.170513
0.050000,10.612388,1.499043,11.643023,4.360302,0.661504,0.973349,0.195131
0.050000,10.827426,1.544533,11.862820,4.395952,0.712997,1.029876,0.222186
0.050000,11.042951,1.596549,12.084533,4.434259,0.766143,1.062908,0.251860
0.050000,11.258731,1.655776,12.308294,4.475214,0.819091,1.058955,0.284333
0.050000,11.474451,1.722939,12.534227,4.518670,0.869119,1.000561,0.319778
0.050000,11.689690,1.798794,12.762442,4.564292,0.912444,0.866516,0.358342
0.050000,11.903902,1.884105,12.993017,4.611497,0.944104,0.633190,0.400134
0.050000,12.116393,1.979618,13.225987,4.659397,0.957990,0.277721,0.445201
0.050000,12.326305,2.086016,13.461324,4.706755,0.947171,-0.216375,0.493508
0.050000,12.532617,2.203868,13.698924,4.751986,0.904616,-0.851100,0.544909
0.050000,12.734149,2.333567,13.938584,4.793205,0.824384,-1.604649,0.599130
0.050000,12.929606,2.475269,14.180002,4.828364,0.703186,-2.423951,0.655756
0.050000,13.117631,2.628844,14.422775,4.855464,0.541992,-3.223880,0.714237
0.050000,13.296891,2.793850,14.666416,4.872820,0.347111,-3.897620,0.773905
0.050000,13.466170,2.969532,14.910383,4.879327,0.130159,-4.339040,0.834019
0.050000,13.624457,3.154872,15.154115,4.874657,-0.093411,-4.471405,0.893813
0.050000,13.771016,3.348657,15.397081,4.859309,-0.306967,-4.271116,0.952556
0.050000,13.905418,3.549574,15.638807,4.834522,-0.495736,-3.775374,1.009604
0.050000,14.027545,3.756297,15.878910,4.802060,-0.649232,-3.069919,1.064431
0.050000,14.137553,3.967569,16.117107,4.763941,-0.762381,-2.262980,1.116649
0.050000,14.234829,4.179943,16.350698,4.671829,-1.842252,-21.597430,1.165498
0.050000,14.318739,4.388335,16.575350,4.493032,-3.575926,-34.673477,1.210114
0.050000,14.390203,4.590132,16.789427,4.281536,-4.229927,-13.080018,1.250398
0.050000,14.450821,4.784659,16.993181,4.075082,-4.129070,2.017138,1.286695
0.050000,14.502041,4.971458,17.186875,3.873878,-4.024088,2.099647,1.319364
0.050000,14.545146,5.150225,17.370765,3.677798,-3.921603,2.049700,1.348756
0.050000,14.581265,5.320768,17.545091,3.486526,-3.825444,1.923175,1.375201
0.050000,14.611386,5.482978,17.710074,3.299650,-3.737518,1.758524,1.398998
0.050000,14.636368,5.636799,17.865910,3.116725,-3.658493,1.580497,1.420419
0.050000,14.656958,5.782214,18.012775,2.937311,-3.588292,1.404020,1.439703
0.050000,14.673807,5.919231,18.150825,2.760990,-3.526423,1.237379,1.457062
0.050000,14.687478,6.047876,18.280194,2.587380,-3.472193,1.084593,1.472682
0.050000,14.698463,6.168182,18.401001,2.416138,-3.424839,0.947085,1.486723
0.050000,14.707187,6.280191,18.513349,2.246958,-3.383603,0.824715,1.499328
0.050000,14.714023,6.383944,18.617327,2.079569,-3.347774,0.716587,1.510618
0.050000,14.719294,6.479486,18.713014,1.913734,-3.316707,0.621341,1.520699
0.050000,14.723281,6.566857,18.800476,1.749242,-3.289830,0.537528,1.529664
0.050000,14.726226,6.646098,18.879771,1.585910,-3.266646,0.463688,1.537592
0.050000,14.728341,6.717245,18.950950,1.423574,-3.246724,0.398444,1.544551
0.050000,14.729805,6.780333,19.014055,1.262089,-3.229698,0.340526,1.550599
0.050000,14.730774,6.835390,19.069121,1.101326,-3.215256,0.288830,1.555785
0.050000,14.731378,6.882445,19.116179,0.941169,-3.203140,0.242311,1.560150
0.050000,14.731724,6.921519,19.155255,0.781512,-3.193135,0.200104,1.563730
0.050000,14.731900,6.952631,19.186368,0.622259,-3.185065,0.161406,1.566550
0.050000,14.731974,6.975797,19.209534,0.463319,-3.178791,0.125487,1.568634
0.050000,14.731996,6.991028,19.224764,0.304609,-3.174204,0.091729,1.569997
0.050000,14.732000,6.998330,19.232067,0.146048,-3.171228,0.059526,1.570648
0.050000,14.732000,7.000000,19.233737,0.033398,-2.252997,18.364620,1.570796
0.050000,14.732000,7.000000,19.233737,0.000000,-0.667961,31.700718,1.570796
